Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	1.2542676	2.184176	7.4765267	-1.8280023	2.8939657	2.750932	10.534139	-0.8063812	21.520834	49.284462	263.0	0.0	54.725	141.63562	633.0	0.0	1000.0	1000.0	0.8333333	1.55	16781.0	0.027968333333333335	550004.0	-1.0509729	0.45932204	0.745202	-4.3712835	-1.050965	0.4593308	0.9527111	-4.34331	1.9142569	2.3414207	64.87008	-13.407251	1.0374714	2.5243042	72.01363	5.8823883e-08	1.9780331	4.298471	82.89427	-11.671818	1.5481372	0.00056972104	0.0005686938	0.061130244	0.24462779	5.5409146e-05	-6.065954	0.002386269	4.0568436e-14	-18.420683	1.4676902e-12	-1.9780331	21.885975	706.5232	7625.681591749191
12	2.266823	3.0833647	11.090044	-3.6898022	1.2323344	2.2776804	7.0940146	-1.34945	32.903847	87.08953	490.0	0.0	44.8	161.24178	895.0	0.0	1000.0	1000.0	1.3269231	0.725	18492.0	0.02844923076923077	600004.0	-1.0698549	0.46579814	0.92034245	-4.284906	-1.0698586	0.4657957	1.3144206	-4.409436	1.8947841	2.243913	38.12094	-19.353615	1.1357738	2.7078817	59.07561	1e-08	1.983226	4.6098027	87.110886	-13.474911	1.5467945	0.0006383616	0.0006368447	0.06359453	0.24193561	3.879553e-05	-6.1943374	0.0020912818	3.1188986e-14	-18.420683	1.2564952e-12	-1.9832258	21.344704	719.2079	8344.973186254501
13	1.939998	2.904561	10.037211	-1.8995137	0.9745821	1.9649832	7.1694417	-1.5005815	46.75	104.84721	522.0	0.0	10.3	49.337208	304.0	0.0	1000.0	1000.0	1.125	0.7	20984.0	0.02997714285714286	650004.0	-1.0918547	0.46069878	0.7753325	-4.521516	-1.0918579	0.46070507	0.9481378	-4.4343615	1.9245453	2.247709	44.010834	-25.732876	1.0633909	2.752573	73.36707	1.4786989e-08	2.0070329	4.400695	81.081116	-11.502824	1.5533656	0.00064816535	0.0006427632	0.06367942	0.24482308	-9.004379e-06	-6.094435	0.002348112	2.941972e-14	-18.420683	1.1062409e-12	-2.0070329	20.81654	718.10095	9062.867257118225
14	1.8855574	2.3851907	9.317444	-0.9902576	1.5838324	2.405695	8.018963	-1.383863	18.326923	41.30548	254.0	0.0	27.175	124.026794	794.0	0.0	1000.0	1000.0	1.0384616	0.875	21689.0	0.028918666666666665	700004.0	-1.0717932	0.44998428	1.0166801	-4.86466	-1.0717893	0.44998673	0.8812235	-4.881626	1.9116815	2.1785512	44.578003	-17.658121	1.0915563	2.8225913	73.423645	1e-08	1.9989697	4.4296474	83.6649	-13.55133	1.5669475	0.00066618255	0.0006644746	0.06532425	0.24274305	5.9543754e-06	-6.154934	0.0021702056	2.2298315e-14	-18.420683	1.0079417e-12	-1.9989697	21.227806	710.2857	9773.247334718704
15	1.1606547	1.6083204	6.87383	-0.74910295	1.2316749	2.2536678	8.16392	-2.0381746	21.8125	78.05865	538.0	0.0	5.975	12.346027	52.0	0.0	1000.0	1000.0	0.625	0.825	22778.0	0.0284725	750004.0	-1.0699596	0.4410319	0.79533553	-6.0317535	-1.0699606	0.44103137	0.9489782	-6.2698426	1.9211259	2.1948998	53.33644	-29.22081	1.0739657	2.776134	81.26883	1e-08	1.9726244	4.499654	98.211296	-13.566556	1.6167941	0.0006492041	0.00064655684	0.063786894	0.23997025	6.556861e-05	-6.2264767	0.0020134307	1.8392207e-14	-18.420683	9.263583e-13	-1.9726242	21.130455	706.88904	10480.315913915634
16	2.2552545	2.6985714	10.271782	-1.3822246	0.99044263	1.3351989	4.0274754	-1.0404782	57.51923	122.77786	508.0	0.0	20.1	48.211926	236.0	0.0	1000.0	1000.0	1.25	0.525	25727.0	0.03026705882352941	800004.0	-1.061381	0.43541437	1.1836531	-4.8939424	-1.0613842	0.4354114	1.5285666	-4.6762676	1.9125754	2.135017	50.930077	-30.196825	1.1174973	2.8830893	77.302795	1e-08	1.9683719	4.419429	80.01675	-12.823941	1.412797	0.00064250524	0.0006420698	0.06318918	0.23279594	6.432454e-05	-6.151052	0.0021783477	2.2355046e-14	-18.420683	8.545314e-13	-1.968372	21.286835	699.5054	11179.882312774658
17	2.1335468	2.7958076	9.159644	-0.9946141	1.64748	1.8435708	6.9079375	-0.72525364	12.1875	27.707293	137.0	0.0	55.375	141.82748	808.0	0.0	1000.0	1000.0	1.1666666	0.8	26312.0	0.029235555555555556	850004.0	-1.0432719	0.42287353	2.2889884	-4.9212832	-1.0432738	0.42287508	2.2455177	-4.890314	1.8951628	2.1867137	51.806114	-15.636682	1.2405558	3.2214513	77.12931	1e-08	1.9986293	4.3982935	86.23647	-12.751769	1.6183221	0.0006698118	0.0006673805	0.067482196	0.24124481	1.4443119e-05	-6.246556	0.0019861464	1.5421607e-14	-18.420683	7.949217e-13	-1.9986293	20.938896	702.33795	11881.976014137268
18	2.8311763	2.4459789	10.238761	-0.50061804	1.982103	2.731271	10.891794	-1.1670343	16.923077	45.185875	279.0	0.0	25.95	137.0768	879.0	0.0	1000.0	1000.0	1.3461539	1.2	27192.0	0.028623157894736843	900004.0	-1.0835735	0.43492398	2.3144133	-5.3994403	-1.0835781	0.4349147	2.3222685	-5.4355164	1.8835856	2.1602643	81.083824	-13.248541	1.2799135	3.3330674	121.560356	1e-08	1.9723554	4.4554777	82.701836	-12.482753	1.7052281	0.0007865757	0.0007866981	0.06797081	0.2383027	5.6434346e-05	-6.24882	0.0020031466	1.208077e-14	-18.420683	7.513156e-13	-1.9723555	20.73012	694.90393	12576.846987962723
19	2.4671245	2.5613396	10.40882	-1.3787621	2.534599	3.6286786	18.645937	-0.86629665	18.625	44.78124	204.0	0.0	15.95	39.216038	175.0	0.0	1000.0	1000.0	1.3333334	1.3	28129.0	0.028129	950004.0	-1.1102762	0.43253168	0.9791079	-6.967336	-1.1102755	0.43253744	0.9895899	-6.974672	1.8917782	2.0997953	91.0489	-13.66892	1.2344042	3.429049	147.61317	1e-08	2.0074975	4.6086087	91.59791	-11.798971	1.6976731	0.00082723296	0.0008261326	0.06664746	0.23127922	-8.308377e-06	-6.3145027	0.0019064643	1.1099124e-14	-18.420683	7.1491245e-13	-2.0074975	21.055843	697.8119	13274.64571261406
20	3.0162964	3.4447608	12.299225	-1.774732	1.4136947	2.1830232	7.07026	-0.9752682	16.903847	35.94775	161.0	0.0	21.925	51.489994	239.0	0.0	1000.0	1000.0	1.6730769	0.8	28965.0	0.027585714285714286	1000004.0	-1.1320684	0.45327255	0.7484795	-9.103815	-1.1320715	0.4532701	0.6269439	-9.478569	1.8754	2.0800292	60.642914	-20.740925	1.2845681	3.5267851	132.25305	1e-08	1.9665773	4.545671	94.04929	-12.356238	1.6256738	0.0008779819	0.00088070147	0.06551086	0.22893427	6.949164e-05	-6.2680364	0.0019556298	1.308437e-14	-18.420683	6.837599e-13	-1.9665773	20.914492	699.1328	13974.483103275299
