Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQC1Vals	StdQC1Vals	MaxQC1Vals	MinQC1Vals	AverageQC2Vals	StdQC2Vals	MaxQC2Vals	MinQC2Vals	AverageQC1Var	StdQC1Var	MaxQC1Var	MinQC1Var	AverageQC2Var	StdQC2Var	MaxQC2Var	MinQC2Var	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC1	LossQC2	LossQC1Var	LossQC2Var	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	4.171454	3.6847618	13.654961	-0.8349718	3.4245276	2.989666	11.721054	-0.44548652	34.770832	57.360794	222.0	0.0	28.55	64.52052	303.0	0.0	1000.0	1000.0	2.0416667	1.725	22767.0	0.037945	550004.0	-0.96507174	0.472798	1.4764504	-5.07893	-0.9650745	0.47281322	1.4815392	-5.1900663	1.9110763	2.127226	73.17998	-13.996877	1.9110425	2.1275733	74.03311	-13.632317	1.0480772	2.5681517	87.1992	5.7327128e-08	1.0501337	2.5888312	104.59068	1e-08	1.984828	4.147476	65.77979	-12.489345	1.3019749	0.0009789219	0.0009713985	0.042415824	0.04095112	0.15782557	0.15773061	3.327118e-05	-6.2738023	0.0019114709	3.841244e-14	-18.420683	1.4742949e-12	-1.9848281	14.817596	420.31747	4666.553848981857
12	5.750598	4.930223	17.513405	-0.7830955	10.984254	6.917492	23.661032	-0.067498796	40.076923	89.58168	446.0	0.0	59.725	111.53183	571.0	0.0	1000.0	1000.0	2.8461537	5.225	24668.0	0.03795076923076923	600004.0	-1.013841	0.4740156	1.118807	-5.8766336	-1.0138365	0.4740167	1.1715857	-5.7905264	1.8958557	2.0963068	66.067184	-15.346993	1.8959172	2.0965757	65.85976	-15.507589	1.1362422	2.7401445	87.24372	1e-08	1.1378096	2.7607517	96.698685	1e-08	2.0054836	4.109337	66.78298	-11.3551235	1.4379954	0.0009354003	0.00093704305	0.045375586	0.044947155	0.16149929	0.16164209	-7.5805997e-06	-6.219845	0.0020148389	2.7658543e-14	-18.420683	1.2941707e-12	-2.005484	15.103325	421.23047	5088.0101845264435
13	6.114765	4.6924405	17.687115	-0.6871495	2.8431504	4.205827	23.160526	-1.2487956	26.833334	48.07691	288.0	0.0	5.45	18.56603	107.0	0.0	1000.0	1000.0	3.0416667	1.575	25996.0	0.037137142857142855	650004.0	-1.0338373	0.46451858	1.428285	-6.0640173	-1.0338379	0.46453747	1.451729	-6.238542	1.8851278	2.0301769	40.73954	-10.59737	1.8852016	2.0303142	40.47761	-10.3667755	1.1783842	2.7322974	103.49439	1e-08	1.1768631	2.7318957	102.20333	1e-08	1.9909934	4.106726	69.69139	-14.192868	1.4428928	0.0009782643	0.00097231905	0.041426305	0.04161546	0.14935528	0.14952272	2.1049527e-05	-6.2581787	0.0019470281	2.3471047e-14	-18.420683	1.1669248e-12	-1.9909936	15.14147	419.47272	5507.413154602051
14	4.8030114	4.5479198	15.800754	-0.512933	5.874483	5.870987	19.000435	-0.6964636	20.115385	55.828606	393.0	0.0	18.675	61.19289	385.0	0.0	1000.0	1000.0	2.3461537	2.975	27002.0	0.03600266666666667	700004.0	-0.99739444	0.46249315	1.988605	-6.1830745	-0.9973936	0.46249938	2.0532277	-6.3148093	1.8582686	2.0078025	48.764915	-5.905918	1.8582565	2.007729	48.942066	-7.275751	1.3215177	2.919104	104.78607	1e-08	1.3208128	2.9136047	108.37435	1e-08	2.001185	4.082729	71.45816	-11.2650585	1.472155	0.000981193	0.0009748065	0.039353848	0.039778654	0.14238605	0.14244434	7.7811717e-07	-6.35215	0.0017700995	1.7584836e-14	-18.420683	1.0765736e-12	-2.001185	14.935852	421.31244	5928.6394135952
15	5.106936	5.0716395	20.57502	-0.7850907	6.8286233	7.6808105	27.650192	-0.39379555	17.916666	32.942394	167.0	0.0	56.1	131.644	679.0	0.0	1000.0	1000.0	2.6875	3.525	27904.0	0.03488	750004.0	-0.96893376	0.4746256	1.9635494	-5.4296856	-0.9689383	0.4746269	2.0499148	-5.600491	1.8452682	1.8895084	48.156494	-7.7897277	1.84528	1.8891696	51.60875	-7.4666595	1.2953415	2.6260028	66.353516	1e-08	1.2954443	2.6188447	68.97646	1e-08	1.9927522	4.007755	70.417885	-11.057098	1.3144324	0.0010158818	0.0010128759	0.03679494	0.0373471	0.13149233	0.13171323	1.6426253e-05	-6.3498664	0.0017703003	1.7540777e-14	-18.420683	9.996934e-13	-1.9927522	15.104956	419.6236	6348.327412605286
16	6.4470263	5.6486444	22.575796	-0.8677302	6.6806107	6.3060904	21.640455	-1.0174707	32.365383	62.431507	335.0	0.0	28.475	40.32368	214.0	0.0	1000.0	1000.0	3.3461537	3.225	29545.0	0.034758823529411766	800004.0	-0.9525275	0.4746432	1.4406993	-4.987495	-0.9525281	0.4746544	1.4275584	-4.968439	1.8428087	1.7306172	41.909565	-10.884147	1.8427931	1.7302974	41.074787	-10.728637	1.3267317	2.651262	69.74793	1e-08	1.3277563	2.6505306	65.17933	1e-08	1.9965881	3.9744396	57.938274	-14.3650875	1.3300681	0.0010687372	0.0010648048	0.034705386	0.034534305	0.12173532	0.12168942	6.8088843e-06	-6.5422807	0.0014530256	1.1023862e-14	-18.420683	9.492761e-13	-1.9965882	15.186445	421.9129	6770.235083818436
17	7.758331	6.099134	20.536348	-0.767033	8.708649	8.641876	26.366478	-0.5890696	42.0	86.856926	392.0	0.0	16.525	37.38515	221.0	0.0	1000.0	1000.0	3.9166667	4.45	31619.0	0.035132222222222224	850004.0	-0.94299173	0.4645879	1.0543152	-6.155536	-0.94299024	0.46461838	1.0283742	-5.9745884	1.8529193	1.6309277	40.784122	-8.26078	1.8529075	1.6310514	37.73013	-7.674737	1.2992077	2.6478558	65.821266	1e-08	1.3001539	2.667473	67.38596	1e-08	1.9745939	3.925698	80.01095	-12.312189	1.3131542	0.0011173651	0.0011052635	0.03451546	0.03426261	0.118902266	0.1189948	3.760501e-05	-6.6582637	0.0013099393	8.519049e-15	-18.420683	9.111773e-13	-1.9745938	15.127936	420.62024	7190.734115362167
18	7.5578027	6.344958	24.310457	-0.44585413	6.109507	5.9506545	26.42372	-0.08204809	40.673077	88.32778	530.0	0.0	22.05	56.493343	339.0	0.0	1000.0	1000.0	3.6730769	2.925	33676.0	0.03544842105263158	900004.0	-0.9300524	0.46089607	1.5043437	-6.9763846	-0.93005234	0.46090877	1.5180445	-7.027936	1.8817374	1.6506851	37.37199	-8.738309	1.8817866	1.6505157	35.212955	-8.089384	1.1650523	2.4935913	73.53035	1e-08	1.1653402	2.501746	64.50905	1e-08	1.9931313	3.9649532	74.81781	-12.739626	1.2454829	0.0011519957	0.0011413357	0.036182396	0.03640906	0.123090975	0.12359881	1.1841504e-05	-6.5952086	0.0013878199	1.0484602e-14	-18.420683	8.78455e-13	-1.993131	15.116716	421.03455	7611.9226059913635
19	8.21091	6.6978545	23.741768	-0.5015053	6.3270955	6.981569	25.067324	-0.1568529	12.020833	20.781092	90.0	0.0	16.025	30.207191	109.0	0.0	1000.0	1000.0	4.0625	3.125	34361.0	0.034361	950004.0	-0.9268909	0.45888275	1.7989011	-7.278599	-0.92690015	0.4589153	1.8049206	-7.448145	1.8953128	1.6374742	31.718788	-8.335222	1.8952948	1.6373137	32.848164	-7.899047	1.144297	2.6139932	80.612816	1e-08	1.1444675	2.601301	74.8537	1e-08	1.9982945	3.9542277	71.81007	-12.385138	1.2380261	0.0011631609	0.0011472617	0.03769075	0.03816115	0.12543952	0.12557171	3.723979e-06	-6.6606874	0.0013073687	1.02086605e-14	-18.420683	8.4203136e-13	-1.9982945	15.164101	419.26324	8031.210682153702
20	8.977759	7.3325734	24.36766	-0.6385766	8.767401	7.5782914	25.314846	-0.6128169	23.73077	47.483242	306.0	0.0	32.675	105.23056	652.0	0.0	1000.0	1000.0	4.5576925	4.35	35487.0	0.03379714285714286	1000004.0	-0.93680835	0.47291106	1.7481258	-9.5066805	-0.93680733	0.47295427	1.8590467	-9.599652	1.9205843	1.6961263	48.38842	-6.650855	1.9205991	1.6963673	53.595222	-7.1512094	1.0559512	2.5674672	80.351456	1e-08	1.0561594	2.5627766	89.8821	1e-08	1.9991602	3.9189348	78.54821	-13.255444	1.22361	0.0012772426	0.0012552128	0.037806544	0.037965905	0.12880868	0.12885115	3.286196e-06	-6.516068	0.0014927848	1.1604433e-14	-18.420683	8.053348e-13	-1.99916	15.056658	422.80936	8454.636748075485
