Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQC1Vals	StdQC1Vals	MaxQC1Vals	MinQC1Vals	AverageQC2Vals	StdQC2Vals	MaxQC2Vals	MinQC2Vals	AverageQC1Var	StdQC1Var	MaxQC1Var	MinQC1Var	AverageQC2Var	StdQC2Var	MaxQC2Var	MinQC2Var	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC1	LossQC2	LossQC1Var	LossQC2Var	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	0.67784905	1.1539581	3.8859038	-1.3079972	0.4172504	1.0258067	3.6393692	-1.6481248	7.2083335	21.900303	132.0	0.0	4.225	14.409176	79.0	0.0	1000.0	1000.0	0.33333334	0.275	16263.0	0.027105	550004.0	-1.0616161	0.50237393	1.0933535	-20.526897	-1.061633	0.5023803	0.91280484	-20.547373	1.70742	2.0357487	38.903183	-17.80026	1.7073803	2.035458	38.578434	-17.51868	1.5171261	2.5023892	55.3374	1.6689287e-06	1.5182154	2.5092385	52.420155	5.1494553e-08	1.9876056	4.1062794	76.47203	-12.178576	0.94870263	0.0009602862	0.00096272887	0.039959785	0.04053126	0.14345743	0.14328954	2.6040314e-05	-6.2766886	0.0019063479	4.3981068e-14	-18.420683	1.0992437e-12	-1.9876056	20.906597	901.97064	8026.342469215393
12	0.62392104	1.5467967	4.547294	-1.6202462	-0.035733983	0.9989948	3.4377143	-1.6578285	39.057693	96.58045	523.0	0.0	3.075	7.9258676	36.0	0.0	1000.0	1000.0	0.34615386	0.1	18294.0	0.028144615384615386	600004.0	-1.0846149	0.4849602	0.5621465	-18.18266	-1.0846221	0.48497188	0.6271535	-19.495094	1.7309928	2.0341043	33.228367	-11.374945	1.731036	2.0339193	35.959274	-11.175743	1.459794	2.481828	63.70923	4.6256127e-07	1.4629109	2.494873	64.309204	1.6740626e-07	1.9838802	4.038893	78.975426	-12.531776	1.0045756	0.0008826435	0.0008813007	0.040101256	0.040800177	0.14378294	0.14327008	3.066215e-05	-6.2377176	0.0019895397	3.6169435e-14	-18.420683	9.319261e-13	-1.98388	21.023048	908.24146	8934.71632027626
13	0.88526696	1.3036215	5.1646204	-1.2471888	0.6839986	1.2346485	5.0992994	-0.696488	28.291666	74.9433	434.0	0.0	23.325	93.188354	466.0	0.0	1000.0	1000.0	0.47916666	0.35	20119.0	0.02874142857142857	650004.0	-1.0730444	0.45036665	0.858024	-19.523338	-1.0730461	0.45036486	0.8423816	-17.59668	1.7185639	1.9065634	35.15457	-11.61002	1.7185267	1.9060122	33.43154	-10.809218	1.463715	2.3710155	56.142776	2.1048453e-07	1.4656101	2.3949482	62.395195	1e-08	2.0114934	4.028944	90.03478	-11.693045	0.9457786	0.0007747639	0.00077680923	0.03908077	0.039610535	0.13599172	0.13619347	-1.4723341e-05	-6.280984	0.0018949247	2.993179e-14	-18.420683	8.2197617e-13	-2.0114934	20.960236	917.2979	9851.84183883667
14	0.75173146	1.1933961	3.6387079	-0.78473467	0.81756294	1.5858585	6.757193	-1.7302196	75.71154	180.16705	909.0	0.0	73.05	170.49193	761.0	0.0	1000.0	1000.0	0.40384614	0.5	23589.0	0.031452	700004.0	-1.0892118	0.4490034	1.1375672	-14.504054	-1.0892091	0.44898596	1.1824834	-15.888423	1.6952221	1.8768123	36.305687	-8.099803	1.6951776	1.8763092	36.17028	-9.3142	1.5784111	2.6157353	76.206	1.6409538e-07	1.5816	2.6457071	69.35168	1.3583339e-08	1.9882512	3.9244943	79.91708	-13.381188	1.0045264	0.00075993745	0.00078386726	0.039305836	0.040087104	0.1339642	0.13350637	2.3984161e-05	-6.3564963	0.0017676527	2.5579233e-14	-18.420683	7.3404396e-13	-1.9882512	20.894245	892.4915	10744.348861932755
15	1.1027311	1.6953744	6.7168784	-0.9674503	0.5364044	1.1666181	4.8669105	-1.0987636	80.8125	145.21329	547.0	0.0	44.35	119.74777	616.0	0.0	1000.0	1000.0	0.5416667	0.275	27537.0	0.03442125	750004.0	-1.0917495	0.4440733	0.9031618	-10.962623	-1.0917547	0.4440711	0.89967686	-10.565718	1.7225085	1.9329014	34.708046	-11.710449	1.7224863	1.9325306	33.341583	-12.529752	1.5085888	2.7028239	99.20183	1.8833545e-08	1.5110193	2.7219472	105.10344	1.4201922e-07	1.9969753	3.992374	76.03975	-12.473749	1.0449919	0.000762119	0.00076894544	0.043396764	0.044076562	0.14561969	0.14523908	1.037349e-05	-6.323255	0.0018273199	2.3609998e-14	-18.420683	6.677082e-13	-1.9969752	20.960716	887.2745	11631.541310548782
16	0.8689319	2.5960064	11.103405	-7.3360906	0.28075162	1.1720076	5.1168017	-1.1459686	12.923077	46.123104	309.0	0.0	39.95	153.24146	729.0	0.0	1000.0	1000.0	0.5769231	0.225	28140.0	0.03310588235294118	800004.0	-1.1159508	0.4406145	0.6712105	-12.702608	-1.115945	0.44061568	0.6711221	-12.4438305	1.726135	1.9646043	37.21852	-20.235687	1.7261113	1.9640739	36.292694	-18.296118	1.5841753	2.9006891	101.340034	1.1166746e-08	1.584555	2.8942454	119.26065	2.2528981e-08	1.9990711	3.9763796	74.361374	-13.477844	1.3632193	0.00075845566	0.0007614726	0.04672169	0.04765534	0.15263261	0.15295842	4.8367597e-06	-6.313809	0.0018358579	1.5159001e-14	-18.420683	6.175068e-13	-1.9990709	20.95209	893.2135	12524.818336725235
17	1.2228732	1.9113736	8.139239	-0.7940549	0.9970562	1.6495557	6.789102	-0.9664673	30.875	86.64454	435.0	0.0	87.55	207.17795	864.0	0.0	1000.0	1000.0	0.5416667	0.525	29717.0	0.03301888888888889	850004.0	-1.104782	0.42581993	0.8925653	-13.200404	-1.1047797	0.42579523	1.0924096	-14.010357	1.6805902	1.8728844	36.131535	-29.105215	1.6806191	1.8723849	40.251644	-23.593102	1.7252578	2.9116921	91.960655	1e-08	1.7227466	2.8877735	131.05858	1.012859e-08	1.9865448	3.8975942	76.35416	-11.157719	1.1148448	0.0007036655	0.0007240399	0.044940617	0.045895975	0.14380513	0.1445346	2.8713355e-05	-6.3335776	0.0017954123	1.7944916e-14	-18.420683	5.765304e-13	-1.986545	20.774527	891.4752	13416.28032541275
18	1.1449034	1.5517873	5.548769	-0.88275266	0.62823707	1.6411119	7.111621	-2.019636	36.673077	91.37785	491.0	0.0	28.1	115.49888	723.0	0.0	1000.0	1000.0	0.5192308	0.275	31529.0	0.03318842105263158	900004.0	-1.0722213	0.42347413	0.5961729	-20.025753	-1.072221	0.423476	0.69655645	-21.330647	1.6996506	1.9581925	36.802876	-17.114244	1.699643	1.9576871	36.22103	-16.526772	1.6491784	2.8347337	89.0284	1e-08	1.6500674	2.8244016	96.64491	1e-08	2.0134509	3.985248	95.48246	-11.373897	1.1392572	0.00070374535	0.0006956951	0.04582618	0.04636968	0.15030493	0.15057859	-1.9541767e-05	-6.3632436	0.001750861	1.653668e-14	-18.420683	5.3831603e-13	-2.0134506	20.857529	882.0325	14298.344116687775
19	1.3320912	1.8716844	7.640867	-1.5434012	1.2635179	1.8176773	7.4038396	-1.4191734	23.125	50.04399	255.0	0.0	27.0	115.63196	727.0	0.0	1000.0	1000.0	0.6458333	0.575	32698.0	0.032698	950004.0	-1.1027634	0.4536072	0.63787097	-19.023956	-1.1027609	0.45363957	0.6707936	-19.507004	1.6868006	1.888307	33.58966	-8.823999	1.686817	1.8878142	34.283062	-10.248809	1.6662399	2.9119215	82.22132	3.2091368e-08	1.6656197	2.8967705	85.880844	5.989445e-08	1.9900854	3.891939	87.86275	-11.840727	0.9987265	0.00087206723	0.0008691386	0.04430921	0.044281483	0.14232467	0.14232011	2.2474589e-05	-6.3213177	0.0018227586	1.806326e-14	-18.420683	5.0202344e-13	-1.9900854	20.7126	880.58984	15178.879440784454
20	1.6286197	2.3674576	11.205555	-1.0225842	0.7414144	1.4769163	5.3571267	-1.2273866	21.0	80.9981	542.0	0.0	22.7	105.442444	628.0	0.0	1000.0	1000.0	0.8076923	0.475	33731.0	0.032124761904761906	1000004.0	-1.1386976	0.46184418	0.7415833	-20.073914	-1.1387011	0.4618222	0.51396453	-19.499132	1.6754128	1.8891876	38.91288	-14.697705	1.6754106	1.8889185	39.370255	-15.307424	1.7155107	2.9322686	80.85736	1.4668727e-08	1.7169727	2.931749	123.99825	2.5803851e-08	1.9935141	3.977646	74.323685	-15.316145	1.0629073	0.00086310104	0.0008653318	0.04379145	0.04370882	0.13933657	0.13913	1.4538046e-05	-6.36951	0.0017309615	1.640818e-14	-18.420683	4.692728e-13	-1.9935141	20.633495	884.69574	16064.877678394318
