Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	5.4435215	4.627031	19.819912	0.067362264	6.4033775	5.019979	18.64436	-0.50985163	46.3125	70.43471	352.0	0.0	24.85	44.377106	217.0	0.0	1000.0	1000.0	2.7708333	3.375	24402.0	0.04067	550004.0	-0.9563267	0.48320958	1.3393749	-6.4659333	-0.9563204	0.483206	1.217262	-6.155894	2.4711716	3.1583943	53.14298	-17.195261	1.9371269	4.3619614	90.1815	-13.182552	1.7959632	0.0010458601	0.001052267	0.10109889	0.00015220324	-6.103275	0.0023056061	4.700098e-14	-27.143452	1.6308468e-12	-1.937127	22.355463	787.5145	6910.882285118103
12	6.248618	5.0935974	18.733429	-0.9717464	4.4188643	5.501601	17.884556	-1.1321877	38.75	62.405273	259.0	0.0	30.975	86.42988	518.0	0.0	1000.0	1000.0	3.2115386	2.325	26359.0	0.04055230769230769	600004.0	-0.955065	0.47309172	0.7099988	-5.315295	-0.9550671	0.47306976	0.8019253	-5.0875187	2.4786355	3.0260355	51.779007	-16.753063	1.9969537	4.4532886	80.61926	-11.494633	1.842449	0.0010435873	0.0010532894	0.10008109	7.404461e-06	-6.265694	0.0019970965	2.986313e-14	-27.292713	1.4035601e-12	-1.996954	21.0307	791.5414	7702.548849582672
13	5.974527	5.274681	22.94876	-2.1166778	5.678678	4.959391	21.467617	-0.53017586	38.833332	70.75172	293.0	0.0	42.25	138.75009	891.0	0.0	1000.0	1000.0	3.1875	2.85	28293.0	0.04041857142857143	650004.0	-0.9261335	0.45926958	0.93142897	-4.612979	-0.92613524	0.45923716	1.2578633	-4.940835	2.4802961	3.0096264	47.583645	-12.835463	1.964981	4.3156157	102.85856	-10.815773	1.8669918	0.0010452584	0.0010597628	0.10621817	7.987483e-05	-6.1399274	0.0021987872	2.4693789e-14	-27.39995	1.2605402e-12	-1.964981	20.37716	786.2893	8488.821916818619
14	6.935792	5.0315123	20.808857	-0.9828597	6.202812	5.6160374	20.46576	-2.146241	36.98077	72.87516	414.0	0.0	45.5	138.55794	849.0	0.0	1000.0	1000.0	3.5576923	3.05	30146.0	0.04019466666666666	700004.0	-0.90987843	0.46878338	0.9314197	-4.245513	-0.9098789	0.46874475	0.8608405	-4.1870914	2.4833794	2.908891	44.168247	-9.591256	1.9609846	4.258877	99.731346	-11.283004	1.8129853	0.0010823687	0.0011001833	0.10379166	8.481876e-05	-6.255308	0.0019854929	1.9070432e-14	-27.4887	1.1532558e-12	-1.9609846	22.34129	791.9734	9280.879148483276
15	8.142661	6.179163	20.876692	-3.3847845	4.709187	4.9726295	17.621239	-1.0885711	31.479166	38.015343	136.0	0.0	38.15	89.53171	406.0	0.0	1000.0	1000.0	4.1875	2.5	31730.0	0.0396625	750004.0	-0.85972124	0.45023814	0.99507916	-4.382079	-0.8597199	0.45022947	1.266845	-4.3740654	2.4863164	2.8429348	42.695793	-12.397501	1.9844382	4.207401	80.792145	-14.186927	1.7869655	0.0010693067	0.0010772559	0.09956026	2.7573204e-05	-6.412733	0.0017097828	1.465998e-14	-27.555912	1.0782044e-12	-1.9844382	22.509052	792.8579	10073.546124696732
16	6.0237103	5.8571353	21.416344	-1.9392315	4.5735044	4.9234624	19.016333	-1.9310881	45.28846	76.66645	478.0	0.0	24.45	56.68816	331.0	0.0	1000.0	1000.0	3.1538463	2.5	34012.0	0.040014117647058825	800004.0	-0.8561378	0.4627063	1.6606002	-5.175918	-0.85614055	0.4626961	1.3277683	-5.2877073	2.492993	2.8989286	48.082882	-16.33806	1.9713085	4.340424	71.227066	-13.667055	2.0134072	0.001153592	0.0011595185	0.10417836	6.0320453e-05	-6.2257476	0.0020393478	7.135466e-15	-27.59477	1.0369664e-12	-1.9713085	20.69085	789.68054	10863.387032985687
17	6.2954674	5.339814	18.030624	-2.7674708	8.376965	7.618081	22.323204	-6.7219906	16.541666	37.600395	216.0	0.0	47.8	95.020584	499.0	0.0	1000.0	1000.0	3.3958333	4.3	34857.0	0.03873	850004.0	-0.8948528	0.49208015	1.5630374	-7.023049	-0.8948538	0.4920841	1.3209323	-7.1001916	2.4937356	2.79961	46.96752	-30.829071	1.9920784	4.3271184	76.34121	-14.895088	1.9786644	0.0013212457	0.0013213148	0.10134461	1.8335571e-05	-6.343145	0.0018061551	6.2010397e-15	-27.625935	1.0051103e-12	-1.9920785	22.663574	789.8882	11653.203825712204
18	7.2822366	6.8324785	20.29569	-2.55038	4.327623	5.2446	16.409132	-1.7973986	25.384615	34.026096	161.0	0.0	10.75	25.58784	142.0	0.0	1000.0	1000.0	3.8653846	2.375	36126.0	0.03802736842105263	900004.0	-0.86707294	0.45909637	1.8190587	-6.092662	-0.8670705	0.45905894	1.2454921	-5.93019	2.492627	2.6783497	56.31975	-20.42398	1.991286	4.1725755	69.478264	-12.514552	1.7859894	0.0011343961	0.0011528631	0.091801405	1.6212054e-05	-6.4659495	0.0015962287	7.123394e-15	-27.650257	9.809994e-13	-1.9912863	22.366053	798.528	12451.779765844345
19	8.2491865	5.635216	20.58307	-1.4546092	6.110841	6.318657	23.648548	-1.3451375	14.979167	25.012905	111.0	0.0	37.0	119.24974	746.0	0.0	1000.0	1000.0	4.2708335	3.275	36861.0	0.036861	950004.0	-0.7777576	0.453586	1.8054783	-10.625168	-0.7777583	0.4535265	1.2641866	-10.053849	2.4944043	2.5427337	60.363914	-19.490477	1.9695828	4.1256785	74.18091	-11.527349	1.655561	0.0011802121	0.0012017608	0.08506805	5.2975407e-05	-6.452079	0.0016141018	5.249895e-15	-27.681507	9.507814e-13	-1.9695828	21.317825	793.7193	13245.597802400589
20	9.622474	6.351515	21.725605	-1.4629387	6.7332816	6.279167	22.102585	-1.7121959	14.903846	27.724787	146.0	0.0	11.625	19.421236	97.0	0.0	1000.0	1000.0	4.7884617	3.425	37620.0	0.03582857142857143	1000004.0	-0.7243758	0.46481952	2.3473604	-12.299659	-0.72437763	0.46475872	2.1161337	-13.358463	2.4990647	2.5214312	66.87386	-17.999023	1.9845109	4.008677	73.88111	-13.882816	1.7005298	0.0013011374	0.0013340646	0.080208406	2.3409642e-05	-6.577585	0.0014197916	7.8540066e-16	-27.69321	9.39708e-13	-1.9845108	22.114956	788.833	14035.31035399437
