Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	1.5032679	2.600851	8.076329	-2.165273	1.1275225	2.4966705	9.246568	-3.3094952	38.9375	73.85978	317.0	0.0	39.125	84.9774	414.0	0.0	1000.0	1000.0	0.875	0.875	17598.0	0.02933	550004.0	-0.9221415	0.473947	1.3149679	-16.060322	-0.92213607	0.4739089	1.2023978	-15.73731	1.92414	2.3003743	43.074852	-12.340365	1.0159551	2.4575372	72.53714	1e-08	1.9994535	4.38778	92.216415	-12.374667	1.4438049	0.00074786687	0.0007670267	0.055520233	0.22733733	6.1814117e-06	-6.2174573	0.00203265	2.9473125e-14	-18.420683	1.2177796e-12	-1.9994534	21.653477	726.9981	7423.856189250946
12	0.7549337	1.5809568	4.7028155	-2.76708	1.4333751	2.3185165	7.661084	-1.8883804	48.576923	123.85137	807.0	0.0	12.95	56.629475	360.0	0.0	1000.0	1000.0	0.63461536	0.875	20048.0	0.030843076923076924	600004.0	-0.9460145	0.47101203	0.5156116	-9.593343	-0.94601595	0.47099984	0.8392896	-9.452182	1.9087883	2.264237	39.88276	-13.890221	1.1022362	2.717037	69.66668	1e-08	2.0002034	4.5007763	102.597466	-11.367218	1.506209	0.0006834824	0.0006873903	0.058054816	0.23096402	1.0981426e-05	-6.13629	0.00221438	2.334767e-14	-18.420683	1.0970365e-12	-2.0002034	21.186562	725.0823	8148.958735466003
13	0.5550283	1.7920257	9.056941	-1.7709432	0.446577	1.6874725	8.034966	-1.2856774	35.208332	113.7477	634.0	0.0	18.525	93.02848	595.0	0.0	1000.0	1000.0	0.5416667	0.375	21738.0	0.031054285714285715	650004.0	-1.0339123	0.50635093	0.8027805	-7.226034	-1.0339117	0.50634485	0.8525517	-7.2614617	1.8939152	2.3117537	39.619705	-18.24117	1.1204997	2.7370152	59.92205	1e-08	1.9739453	4.3673434	88.385796	-12.005312	1.4527618	0.0008141676	0.00081336807	0.061338175	0.23987578	6.147006e-05	-6.0751724	0.0023494384	2.8953694e-14	-18.420683	9.856557e-13	-1.9739455	20.964104	729.7976	8878.478340387344
14	0.44262388	1.6590424	5.5636363	-1.6703736	0.857545	1.4543904	6.1307573	-0.71288776	17.788462	44.53233	201.0	0.0	13.6	37.433807	170.0	0.0	1000.0	1000.0	0.40384614	0.5	22663.0	0.030217333333333332	700004.0	-1.0846885	0.5343872	0.9011154	-17.828968	-1.0846915	0.53435755	0.9748387	-18.58726	1.8666756	2.2857757	41.342464	-21.174593	1.3013724	3.1584191	65.48734	1e-08	1.9808203	4.5404844	112.79929	-12.889454	1.6455024	0.0010251536	0.0010368947	0.063212864	0.23778337	3.6815316e-05	-6.2165613	0.002038013	2.0184807e-14	-18.420683	8.987803e-13	-1.9808202	21.153975	725.0402	9603.712415456772
15	1.0295782	1.7254784	6.777132	-1.1144873	1.5541573	2.3981776	6.491458	-1.996298	13.8125	36.29202	179.0	0.0	23.175	73.93067	391.0	0.0	1000.0	1000.0	0.625	0.9	23326.0	0.0291575	750004.0	-1.1405605	0.5352113	0.7759189	-14.530975	-1.1405666	0.53521615	0.8188445	-14.090916	1.8614004	2.3102896	45.20043	-16.800661	1.3254803	3.2921865	71.647736	1e-08	2.0159636	4.3445067	88.95783	-11.54562	1.6005925	0.0008771613	0.0008746628	0.06490957	0.24431355	-1.508336e-05	-6.141375	0.0022005036	2.2872988e-14	-18.420683	8.261042e-13	-2.0159636	21.243158	711.5166	10315.02981877327
16	0.8952163	1.6146511	7.3944144	-1.7244699	1.2680199	1.4645879	3.8584154	-1.6068413	6.826923	22.740782	135.0	0.0	17.925	48.202896	207.0	0.0	1000.0	1000.0	0.5769231	0.55	23681.0	0.02786	800004.0	-1.1204796	0.49961486	1.112217	-6.85777	-1.1204789	0.49960676	1.0767274	-7.0288363	1.8380582	2.182057	40.863804	-20.651314	1.4375343	3.4801161	71.93141	1e-08	1.9745404	4.302825	87.336555	-13.637265	1.5448275	0.0007595204	0.00076259766	0.061303876	0.22856629	5.2822346e-05	-6.244106	0.002009366	1.9089488e-14	-18.420683	7.550406e-13	-1.9745401	21.06017	716.2052	11031.560997962952
17	1.1910646	2.3242013	9.685311	-1.7942648	0.7102703	1.3568625	4.8183036	-1.0262154	27.25	72.45789	435.0	0.0	51.325	143.47218	547.0	0.0	1000.0	1000.0	0.7708333	0.425	24989.0	0.027765555555555557	850004.0	-1.1148915	0.48429292	1.5565515	-6.7424884	-1.1148975	0.48426083	1.5764759	-6.3388696	1.8298445	2.1376138	44.36945	-24.880274	1.43467	3.512834	88.660484	1e-08	1.9621309	4.4282727	93.78564	-12.253536	1.4045376	0.0007896242	0.0008011055	0.061765186	0.22338812	8.711686e-05	-6.232203	0.0020630313	2.0397219e-14	-18.420683	7.008125e-13	-1.9621309	20.512718	709.20416	11740.506884336472
18	0.5341836	2.001404	6.2615976	-4.980246	-0.1882854	3.9596386	12.770056	-10.434386	31.923077	100.40262	452.0	0.0	34.675	103.69267	503.0	0.0	1000.0	1000.0	0.5576923	0.725	26649.0	0.02805157894736842	900004.0	-1.1581168	0.5180093	1.6419125	-6.558783	-1.1581215	0.51796716	1.666147	-6.883753	1.8436862	2.1173005	45.788902	-19.64953	1.387695	3.4334736	92.03301	1e-08	1.984616	4.4780498	75.586044	-13.736611	1.4014626	0.0009260728	0.00094034034	0.06220444	0.22432505	3.6897505e-05	-6.223899	0.0020283659	1.9560811e-14	-18.420683	6.444594e-13	-1.9846159	21.182755	715.645	12456.201830625534
19	0.8537089	1.4478537	4.1318374	-1.9559832	0.68679625	1.1959307	5.4196277	-1.464557	5.3958335	17.999699	107.0	0.0	47.425	127.50332	751.0	0.0	1000.0	1000.0	0.6458333	0.325	26908.0	0.026908	950004.0	-1.1825676	0.54511374	1.9378421	-7.820565	-1.182566	0.54509777	2.0144708	-7.840891	1.8583417	2.232198	62.969162	-19.27631	1.3856885	3.7350044	91.11899	1e-08	1.9852681	4.3336134	79.94987	-11.356423	1.3899106	0.00094614225	0.0009561492	0.065550596	0.23544113	3.3120043e-05	-6.3248005	0.0018396627	2.1423618e-14	-18.420683	5.9637316e-13	-1.9852687	21.174877	703.8751	13160.036066293716
20	0.99403214	1.95307	7.2562413	-2.067231	0.35607502	1.5971371	7.871993	-2.5811656	18.192308	46.68719	245.0	0.0	32.2	119.25166	714.0	0.0	1000.0	1000.0	0.65384614	0.4	27854.0	0.026527619047619046	1000004.0	-1.2398083	0.5673483	0.82356536	-9.791336	-1.2398158	0.567308	0.91731536	-10.061799	1.863605	2.1603131	47.6528	-18.655476	1.3521148	3.6323085	110.867805	1e-08	1.9646562	4.289042	82.77136	-14.023157	1.4511503	0.0011050235	0.0011308932	0.065047875	0.23346107	7.4630225e-05	-6.0934114	0.0023061356	1.8686257e-14	-18.420683	5.491242e-13	-1.964656	20.820896	703.0322	13863.88389658928
