Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	-0.6970261	1.1620423	1.4838828	-3.890021	-0.5027897	2.4880042	2.1540146	-9.650355	44.458332	75.112404	339.0	0.0	80.4	185.29771	915.0	0.0	1000.0	1000.0	0.041666668	0.175	26798.0	0.04466333333333333	550004.0	-2.4287302	1.7112647	0.014843166	-22.482239	-2.4287434	1.711268	0.0008595586	-21.872831	1.8513085	3.8695517	51.829987	-25.325497	1.6905733	4.310452	86.350136	1e-08	2.0029833	5.3679824	102.59907	-12.098249	4.797674	0.003216005	0.0031889747	0.13122092	0.4961864	-2.6303444e-05	-5.354506	0.00492733	7.427422e-14	-18.420683	2.2932895e-12	-2.002983	46.5708	982.2511	10813.361002206802
12	-0.62586755	1.3498034	2.7717123	-5.15397	-1.1999582	3.1695912	0.4800818	-16.497896	24.192308	63.74741	329.0	0.0	30.5	85.78636	493.0	0.0	1000.0	1000.0	0.057692308	0.0	28044.0	0.043144615384615385	600004.0	-2.564695	1.8622355	-0.06434649	-25.63253	-2.5647047	1.8622348	-0.08690882	-24.332182	1.8652916	4.0582013	64.01201	-28.652803	1.7355758	4.5574794	108.189865	1e-08	1.9612416	5.2248063	82.72463	-12.917797	5.267779	0.0036510418	0.0036214183	0.13383402	0.51374656	0.0002458152	-5.178012	0.0057629114	5.314034e-14	-18.420683	1.7682555e-12	-1.9612416	51.141026	988.27686	11801.37341594696
13	-0.63638145	1.2202055	2.1112933	-5.8594823	-2.2292256	3.1898246	2.5479612	-10.186563	29.229166	50.921608	209.0	0.0	17.1	56.858067	333.0	0.0	1000.0	1000.0	0.041666668	0.05	29447.0	0.04206714285714286	650004.0	-2.732945	1.9472778	-0.14983004	-23.269007	-2.7329528	1.9472632	-0.034504294	-22.88143	1.8761036	3.837798	58.78299	-23.58045	1.6582712	4.539397	118.301346	1e-08	1.991771	5.4191785	101.902405	-11.438824	5.056975	0.0040377053	0.0040652743	0.12731887	0.48420078	5.7280464e-05	-5.4598775	0.004353644	4.6284452e-14	-18.420683	1.4219397e-12	-1.991771	50.848755	978.05133	12779.357492923737
14	-0.827611	1.6993349	2.5057435	-5.6069465	-0.15021661	0.9847508	2.386833	-2.5768986	31.192308	65.508965	274.0	0.0	32.9	72.15566	308.0	0.0	1000.0	1000.0	0.07692308	0.1	31069.0	0.041425333333333335	700004.0	-2.794996	1.9499657	-0.0039263964	-21.090517	-2.7950134	1.94995	-0.0007247925	-20.940262	1.8798915	3.8434355	59.639675	-26.983494	1.6345978	4.564573	124.81755	1e-08	1.980259	4.9786544	120.81697	-12.075762	5.0412393	0.004035215	0.004026124	0.1252222	0.47982258	9.582798e-05	-5.320135	0.005101071	4.439774e-14	-18.420683	1.1979463e-12	-1.9802591	50.900692	979.87994	13759.293904304504
15	-0.796534	1.846166	2.1467957	-7.961545	-1.2816706	3.3367844	2.1110213	-13.578031	29.666666	73.977005	332.0	0.0	28.25	112.88219	660.0	0.0	1000.0	1000.0	0.0625	0.125	32493.0	0.04061625	750004.0	-2.753785	1.9350723	10.379495	-24.079197	-2.7537863	1.9350699	10.073333	-23.20257	1.8926983	3.7614553	62.68573	-42.194897	1.6200156	4.604425	120.34858	1e-08	2.008015	5.1448994	105.99421	-12.145517	4.9660625	0.0041124523	0.004115642	0.12168202	0.46689507	-1.3093758e-05	-5.3868327	0.004688148	3.3744302e-14	-18.420683	1.0303251e-12	-2.008015	48.01407	982.9363	14742.207033634186
16	-0.8546717	2.034088	1.0246619	-8.75487	-2.1816602	5.8582315	1.4858291	-24.654856	24.384615	71.86556	398.0	0.0	63.8	157.13962	782.0	0.0	1000.0	1000.0	0.057692308	0.025	33761.0	0.039718823529411765	800004.0	-2.7257566	1.968061	27.980837	-22.296776	-2.72575	1.9680384	28.453136	-23.59735	1.8838624	3.6822429	59.17467	-40.65494	1.6499741	4.633251	103.85414	1e-08	1.9749367	5.047596	99.10968	-14.586187	4.7590733	0.0045651775	0.0045568557	0.117287695	0.447075	0.00010286438	-5.5860124	0.003956717	3.0313967e-14	-18.420683	9.043614e-13	-1.9749366	50.64144	982.96155	15725.123212575912
17	-1.2504687	2.5140743	2.1846466	-9.032119	-3.3187568	8.310713	1.6727864	-28.817175	36.854168	89.02832	402.0	0.0	28.55	80.85634	337.0	0.0	1000.0	1000.0	0.083333336	0.075	35602.0	0.039557777777777775	850004.0	-2.717581	1.9933058	26.032717	-25.406988	-2.7175653	1.9933157	26.285072	-25.91843	1.8674974	3.5533123	60.868053	-25.628841	1.65836	4.745444	114.2526	1e-08	1.9706467	5.027801	93.03363	-13.673581	4.3406706	0.0058169104	0.0057909605	0.11534506	0.43833673	0.00012389546	-5.525266	0.0041569127	3.5714233e-14	-18.420683	7.9817766e-13	-1.9706464	50.745346	982.45197	16707.827566623688
18	-0.6134204	2.3658853	2.856847	-12.877205	-1.0896267	4.0109544	0.9968568	-20.781322	52.98077	119.884476	551.0	0.0	18.35	63.56317	386.0	0.0	1000.0	1000.0	0.15384616	0.0	38285.0	0.0403	900004.0	-2.7544746	2.0289757	27.130291	-25.678438	-2.7544644	2.028953	27.22984	-25.77462	1.8675238	3.6070325	73.53998	-23.873814	1.71817	4.9625716	130.66193	1e-08	2.0034354	5.3548746	112.02296	-11.774976	4.4835377	0.0053153373	0.005396041	0.1236119	0.4645046	2.0777168e-05	-5.4143457	0.004652285	3.0382774e-14	-18.420683	6.919305e-13	-2.0034354	50.002327	978.8789	17686.40470790863
19	-0.17134655	1.1353805	2.9993243	-2.4888313	-1.0820034	5.813048	4.3350577	-24.708359	24.625	69.18562	377.0	0.0	91.775	168.17914	950.0	0.0	1000.0	1000.0	0.14583333	0.175	39478.0	0.039478	950004.0	-2.8133502	2.1168575	21.648203	-23.0926	-2.8133607	2.1168427	21.636497	-23.63698	1.8577592	3.5589726	83.42309	-19.005833	1.722972	5.0061116	159.0522	1e-08	1.9694016	5.2057686	107.59205	-13.861548	4.5256205	0.00476747	0.0047638933	0.1187735	0.44756106	0.0001543848	-5.374574	0.0047776136	2.664195e-14	-18.420683	6.1721125e-13	-1.9694016	50.58899	977.5231	18664.346014022827
20	-0.7451691	1.9170487	2.590346	-6.971249	-4.4448304	9.742395	1.9428465	-29.06285	34.153847	79.764404	400.0	0.0	31.45	91.41224	421.0	0.0	1000.0	1000.0	0.115384616	0.075	41243.0	0.039279047619047616	1000004.0	-2.7638543	1.9798199	11.893505	-19.226803	-2.7638502	1.9798411	12.068762	-19.104898	1.8466425	3.4148574	77.40737	-24.64093	1.7654283	5.043846	136.8357	1e-08	1.9144855	5.1787972	107.56537	-12.257463	4.2698164	0.003802027	0.0038193269	0.11879672	0.43155774	0.0002827158	-5.4815683	0.004309925	2.486178e-14	-18.420683	5.591138e-13	-1.9144858	47.682556	983.78394	19648.369703531265
