Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	-1.330705	3.0366704	6.292368	-9.715113	-11.434158	6.895521	0.14061604	-28.233438	55.354168	90.22183	396.0	0.0	4.475	8.282474	32.0	0.0	1000.0	1000.0	0.33333334	0.15	2766.0	0.02766	50004.0	-1.2716005	1.8830278	3.887087	-10.80822	-1.315951	1.8440219	3.8721416	-10.559564	1.0854797	3.3471825	33.90994	-3.6075623	0.73607016	2.6920598	35.443874	-13.879969	3.8537788	0.08002482	0.06516511	0.031843398	0.22521414	-3.1307876	0.115225755	0.082546405	-8.695473	0.024551708	-0.73607016	24.57745	433.26328	436.3020443916321
2	-0.7521792	3.0364244	3.7668366	-12.650204	0.7824894	1.7259775	6.909356	-1.5063058	76.65385	126.518295	597.0	0.0	48.325	146.35956	738.0	0.0	1000.0	1000.0	0.48076922	0.425	6643.0	0.04428666666666667	100004.0	-1.2338549	1.220835	6.156185	-7.6203413	-1.2338568	1.2208189	6.1176114	-7.5845613	2.462989	3.5424187	32.83659	-7.605293	1.9789586	3.87466	59.01733	-13.840975	2.2796717	0.0021305731	0.0021498466	0.043617677	9.288889e-05	-5.7043037	0.003413891	4.869875e-07	-12.256191	8.054386e-06	-1.9789587	23.183155	524.013	960.0645546913147
3	0.033222098	1.404581	3.1232383	-3.525127	-0.42812443	3.2845304	4.8762884	-14.511654	40.958332	80.871025	374.0	0.0	42.5	109.18402	499.0	0.0	1000.0	1000.0	0.35416666	0.55	8653.0	0.043265	150004.0	-1.1441919	0.80077076	1.6756169	-6.045154	-1.1441959	0.8007685	1.6145161	-6.2442183	2.4818563	3.2427487	33.221344	-14.428111	1.9765832	4.2889743	66.44377	-11.454837	2.3269913	0.0008454041	0.0008394289	0.062086128	8.358057e-05	-5.9447827	0.002658219	1.3991999e-09	-17.366943	1.2788e-07	-1.9765832	18.78807	532.97144	1492.8920197486877
4	0.36385614	1.6483959	5.568895	-2.1608155	0.01848339	1.3696022	3.6502123	-2.431385	51.596153	98.71312	620.0	0.0	16.15	34.859398	170.0	0.0	1000.0	1000.0	0.3846154	0.325	11292.0	0.045168	200004.0	-1.1194257	0.6858634	0.5253173	-4.488556	-1.1194242	0.68585336	0.58852077	-4.464597	2.4766562	3.3366766	36.032948	-9.895784	2.0096135	4.556205	76.95152	-13.136373	2.2733953	0.0006568386	0.0006632685	0.075902626	-1.8619261e-05	-5.800604	0.0030881579	4.529139e-12	-23.09027	1.755303e-10	-2.0096135	16.267174	545.5293	2038.4732148647308
5	0.0005134344	1.7886497	4.0803933	-4.7643456	-0.23654275	1.1468157	2.0126176	-2.3822606	43.729168	107.20051	670.0	0.0	22.85	50.747192	205.0	0.0	1000.0	1000.0	0.39583334	0.175	13391.0	0.044636666666666665	250004.0	-1.1170219	0.64603645	0.58515644	-4.8140516	-1.11702	0.64602125	0.59013283	-4.69911	2.4772296	3.2560148	36.89289	-13.754874	1.972515	4.466657	96.05069	-11.272065	2.209049	0.0006837238	0.00069588	0.08079746	8.703159e-05	-5.8766174	0.0028775537	2.488165e-13	-25.322552	1.0378837e-11	-1.9725151	16.704897	540.44073	2578.792917728424
6	0.8046342	1.4604502	4.1178837	-1.459102	0.64206254	1.4869602	6.035188	-1.7108059	38.384617	76.39225	343.0	0.0	25.575	77.006454	394.0	0.0	1000.0	1000.0	0.53846157	0.375	15387.0	0.043962857142857144	300004.0	-1.0767169	0.6088387	0.8337064	-5.288592	-1.0767176	0.6088274	0.7485641	-5.402366	2.474586	3.1200855	38.582607	-23.391174	1.9710103	4.442279	75.66381	-12.451959	1.9539578	0.0006665468	0.00067334826	0.07941607	8.1816164e-05	-6.01207	0.0025009415	1.3387686e-13	-25.984087	5.242863e-12	-1.9710106	23.363325	538.4291	3117.39302444458
7	0.011084872	1.2919761	2.899213	-2.4129455	0.5311887	0.94053227	3.9319358	-0.75736797	40.0	79.70859	296.0	0.0	44.375	103.47673	493.0	0.0	1000.0	1000.0	0.25	0.225	17582.0	0.043955	350004.0	-1.0654932	0.61989623	1.0070965	-5.321299	-1.0654901	0.6198882	0.9302362	-5.2347097	2.472145	3.2236655	44.698627	-22.038572	1.9945977	4.50107	81.68214	-11.801126	1.9991593	0.0006393268	0.0006485685	0.087135755	2.622188e-05	-5.931381	0.0027233146	9.384758e-14	-26.409437	3.411474e-12	-1.9945977	18.693634	514.25055	3631.670191049576
8	-0.09202691	0.9762676	2.9030437	-2.2078393	-0.09440478	0.8100894	2.4417775	-1.8154795	23.01923	76.29131	505.0	0.0	38.825	131.25583	605.0	0.0	1000.0	1000.0	0.23076923	0.125	18504.0	0.04112	400004.0	-1.0189049	0.62686795	0.8081897	-5.4730573	-1.0188998	0.6268633	0.7905377	-5.4625745	2.472244	3.2382247	40.236423	-17.646439	1.9762815	4.390839	71.98136	-12.378866	1.972974	0.00060408475	0.00060952036	0.08728461	6.640286e-05	-6.0626526	0.0023859546	6.791671e-14	-26.736277	2.4547517e-12	-1.9762815	17.74588	531.36255	4162.8737626075745
9	0.3617517	1.3348191	4.4435105	-1.6289608	0.3970163	1.1360247	3.6732814	-1.2422166	32.416668	101.23485	569.0	0.0	56.775	170.64824	831.0	0.0	1000.0	1000.0	0.41666666	0.35	20060.0	0.04012	450004.0	-0.9884078	0.63322216	0.7370148	-6.0454173	-0.98839897	0.6332335	0.87310493	-6.695126	2.4645197	3.0414903	41.00663	-17.206251	1.9670326	4.3626823	104.96432	-12.795507	1.5558385	0.00067168055	0.0006716919	0.082668185	7.3009905e-05	-6.0944085	0.0023167448	6.645783e-14	-27.010153	1.865671e-12	-1.9670326	17.7929	538.54944	4701.4313185215
10	0.08870962	1.2519776	5.1579056	-1.723659	-0.1562819	0.99591035	2.4806786	-1.7114496	39.25	80.38223	323.0	0.0	36.45	137.75032	821.0	0.0	1000.0	1000.0	0.23076923	0.15	22101.0	0.040183636363636366	500004.0	-0.9383086	0.5971453	0.5789348	-5.233274	-0.93830556	0.5971448	0.59932244	-5.1091185	2.4715521	2.8774576	46.434837	-14.252554	1.9919647	4.2644877	76.74515	-13.016874	1.5127411	0.0006196598	0.00062178704	0.0809425	1.8805933e-05	-6.349489	0.0017859039	4.2875907e-14	-27.22293	1.5057117e-12	-1.9919648	17.794407	536.6836	5238.543881893158
